date,name,price,person,level,review_count,review_group,score,city,city_details,day,month,peak
2023-08-02,브라운스위트 제주 호텔,135000,2인,비지니스,1935.0,500 이상,4.3,서귀포시,성산읍,2,August,성수기
2023-08-02,블랙샌즈호텔 제주,62500,4인,3성급,484.0,500 미만,4.5,제주시,삼양이동,2,August,성수기
2023-08-02,블루스프링 부띠끄호텔,166500,2인,부티크,58.0,500 미만,4.2,제주시,한림읍,2,August,성수기
2023-08-02,블루하와이 호텔,100000,2인,관광,930.0,500 이상,4.5,제주시,한림읍,2,August,성수기
2023-08-02,블루하와이 호텔,95000,4인,관광,930.0,500 이상,4.5,제주시,한림읍,2,August,성수기
2023-08-02,비치스토리호텔,77500,2인,관광,104.0,500 미만,4.3,제주시,조천읍,2,August,성수기
2023-08-02,비케이호텔 인 제주,70100,4인,3성급,182.0,500 미만,4.7,서귀포시,서귀동,2,August,성수기
2023-08-02,빠레브호텔,133125,2인,4성급,454.0,500 미만,4.7,서귀포시,강정동,2,August,성수기
2023-08-02,사하라 관광호텔,67500,4인,1성급,42.0,500 미만,4.4,제주시,삼도일동,2,August,성수기
2023-08-02,샐리스 호텔,179667,4인,가족호텔,43.0,500 미만,4.5,제주시,애월읍,2,August,성수기
2023-08-02,서귀포 JS호텔,101267,2인,비지니스,889.0,500 이상,4.6,서귀포시,법환동,2,August,성수기
2023-08-02,서귀포 런,70500,4인,관광,319.0,500 미만,4.8,서귀포시,서귀동,2,August,성수기
2023-08-02,서귀포 브리즈베이 호텔,120000,4인,3성급,139.0,500 미만,4.7,서귀포시,성산읍,2,August,성수기
2023-08-02,서귀포 칼 호텔,266200,2인,5성급,249.0,500 미만,4.6,서귀포시,토평동,2,August,성수기
2023-08-02,서머셋 제주신화월드,1024100,4인,5성급,134.0,500 미만,4.8,서귀포시,안덕면,2,August,성수기
2023-08-02,성산 아쿠아비치호텔,86000,2인,비지니스,245.0,500 미만,4.2,서귀포시,성산읍,2,August,성수기
2023-08-02,성산 아쿠아비치호텔,56000,4인,비지니스,245.0,500 미만,4.2,서귀포시,성산읍,2,August,성수기
2023-08-02,성산비치호텔,58500,4인,2성급,84.0,500 미만,4.3,서귀포시,성산읍,2,August,성수기
2023-08-02,솔동산스테이,205995,4인,레지던스,57.0,500 미만,4.9,서귀포시,서귀동,2,August,성수기
